"name","year","undergraduate_enrollment","tuition_and_fees_2018_19","institution_size_category","level_of_institution","degree_of_urbanization_urban_centric_locale","mean_enrollment","mean_african_american","mean_asian","mean_hispanic","mean_white","mean_women","mean_admitted","quantiles_women","quantiles_admission"
"Binghamton University",2017,13737,NA,"10,000 - 19,999","Four or more years","Suburb",13032.6666666667,5,13.5555555555556,9.88888888888889,54,48,40.4444444444444,"25 to 49%","25 to 49%"
"SUNY Polytechnic Institute",2017,2179,NA,"1,000 - 4,999","Four or more years","Suburb",2004.77777777778,6.44444444444444,4,6.44444444444444,78.4444444444444,40,51.7777777777778,"25 to 49%","50 to 74%"
"SUNY Buffalo State",2017,8527,NA,"5,000 - 9,999","Four or more years","City",9199.11111111111,23.4444444444444,2.44444444444444,10,53.2222222222222,57,54.2222222222222,"50 to 74%","50 to 74%"
"SUNY Maritime College",2017,1641,NA,"1,000 - 4,999","Four or more years","City",1638,4.22222222222222,4.11111111111111,10,70,11,62.7777777777778,"0 to 24%","50 to 74%"
"Syracuse University",2017,15252,NA,"20,000 and above","Four or more years","City",14987,8,7.88888888888889,9.66666666666667,55.8888888888889,55,51,"50 to 74%","25 to 49%"
"Vassar College",2017,2353,NA,"1,000 - 4,999","Four or more years","Suburb",2422.66666666667,5,10.5555555555556,10.6666666666667,60.2222222222222,57,24.4444444444444,"50 to 74%","0 to 24%"
"Belmont Abbey College",2017,1555,NA,"1,000 - 4,999","Four or more years","Suburb",1609.66666666667,22.7777777777778,1.22222222222222,2.11111111111111,43.7777777777778,56,75.5555555555556,"50 to 74%","75 to 100%"
"East Carolina University",2017,23265,NA,"20,000 and above","Four or more years","City",22294.8888888889,15.8888888888889,2.55555555555556,5.11111111111111,69.3333333333333,58,70.7777777777778,"50 to 74%","75 to 100%"
"Greensboro College",2017,946,NA,"1,000 - 4,999","Four or more years","City",995.555555555556,29,1,3,53.3333333333333,50,54,"50 to 74%","25 to 49%"
"Guilford College",2017,1674,NA,"1,000 - 4,999","Four or more years","City",2159.44444444444,24.2222222222222,3.55555555555556,5.88888888888889,59.4444444444444,55,67.3333333333333,"50 to 74%","75 to 100%"
"Meredith College",2017,1682,NA,"1,000 - 4,999","Four or more years","City",1673.44444444444,10.2222222222222,2.77777777777778,4.55555555555556,72.2222222222222,100,62.6666666666667,"75 to 100%","50 to 74%"
"Winston-Salem State University",2017,4688,NA,"5,000 - 9,999","Four or more years","City",5043.66666666667,74.7777777777778,1,2.44444444444444,15,71,60.5555555555556,"50 to 74%","50 to 74%"
"Herzing University-Akron",2017,494,NA,"Under 1,000","Four or more years","Suburb",485.888888888889,31.4444444444444,0.333333333333333,1.55555555555556,49.1111111111111,82,91.5555555555556,"75 to 100%","75 to 100%"
"Art Academy of Cincinnati",2017,175,NA,"Under 1,000","Four or more years","City",201.222222222222,8.44444444444444,1.66666666666667,4,81.3333333333333,64,30.7777777777778,"50 to 74%","25 to 49%"
"Cleveland Institute of Music",2017,212,NA,"Under 1,000","Four or more years","City",239.222222222222,1,6,0.777777777777778,30.2222222222222,50,43,"50 to 74%","25 to 49%"
"University of Dayton",2017,8499,NA,"10,000 - 19,999","Four or more years","City",8248.22222222222,3.22222222222222,1,3.55555555555556,80.5555555555556,48,64.5555555555556,"25 to 49%","50 to 74%"
"Mount Carmel College of Nursing",2017,880,NA,"1,000 - 4,999","Four or more years","City",876.888888888889,7.11111111111111,1.44444444444444,1.33333333333333,86.1111111111111,90,76.2222222222222,"75 to 100%","75 to 100%"
"University of Toledo",2017,16194,NA,"20,000 and above","Four or more years","City",16622.2222222222,13.3333333333333,2,4.66666666666667,68.3333333333333,49,93.5,"25 to 49%","75 to 100%"
"Ursuline College",2017,621,NA,"1,000 - 4,999","Four or more years","Suburb",768.666666666667,25.6666666666667,1.22222222222222,2.33333333333333,62.7777777777778,92,76.4444444444444,"75 to 100%","75 to 100%"
"Wright State University-Lake Campus",2017,1037,NA,"1,000 - 4,999","Four or more years","Rural",1181.66666666667,2.33333333333333,0.888888888888889,2.22222222222222,91.4444444444444,56,99,"50 to 74%","75 to 100%"
"Oklahoma Christian University",2017,1972,NA,"1,000 - 4,999","Four or more years","City",1931.22222222222,6.66666666666667,4.22222222222222,5.44444444444444,76.3333333333333,49,58.4444444444444,"25 to 49%","50 to 74%"
"Reed College",2017,1447,NA,"1,000 - 4,999","Four or more years","City",1430.55555555556,2.11111111111111,6.11111111111111,9.44444444444444,58.4444444444444,54,38.2222222222222,"50 to 74%","25 to 49%"
"Bryn Mawr College",2017,1334,NA,"1,000 - 4,999","Four or more years","Suburb",1330.22222222222,5.44444444444444,12.2222222222222,9.11111111111111,36.8888888888889,100,40.6666666666667,"75 to 100%","25 to 49%"
"Dickinson College",2017,2382,NA,"1,000 - 4,999","Four or more years","City",2397.55555555556,4.11111111111111,2.88888888888889,6.55555555555556,72,57,45.5555555555556,"50 to 74%","25 to 49%"
"Edinboro University of Pennsylvania",2017,4290,NA,"5,000 - 9,999","Four or more years","Town",5427,7.44444444444444,1,2.88888888888889,83.3333333333333,58,82.5555555555556,"50 to 74%","75 to 100%"
"Lancaster Bible College",2017,1791,NA,"1,000 - 4,999","Four or more years","Suburb",1360.11111111111,18.3333333333333,1.22222222222222,2.77777777777778,60.8888888888889,50,65.6666666666667,"50 to 74%","50 to 74%"
"Lock Haven University",2017,3472,NA,"1,000 - 4,999","Four or more years","Town",4342.88888888889,8.22222222222222,1,2.22222222222222,85,57,83.2222222222222,"50 to 74%","75 to 100%"
"Lycoming College",2017,1217,NA,"1,000 - 4,999","Four or more years","City",1287.88888888889,7.77777777777778,0.888888888888889,5.88888888888889,72.6666666666667,54,69,"50 to 74%","50 to 74%"
"Moore College of Art and Design",2017,373,NA,"Under 1,000","Four or more years","City",424,17.1111111111111,3.22222222222222,6,62,100,61.1111111111111,"75 to 100%","50 to 74%"
"Pennsylvania State University-Penn State Beaver",2017,655,NA,"Under 1,000","Four or more years","Suburb",740.666666666667,9,2.33333333333333,4.22222222222222,73.1111111111111,42,83.5555555555556,"25 to 49%","75 to 100%"
"Pennsylvania State University-Penn State Fayette- Eberly",2017,652,NA,"Under 1,000","Four or more years","Suburb",784.666666666667,4,0.777777777777778,2,86.7777777777778,57,85.3333333333333,"50 to 74%","75 to 100%"
"Pennsylvania State University-Penn State Hazleton",2017,755,NA,"Under 1,000","Four or more years","Suburb",940.111111111111,12.1111111111111,3.33333333333333,16.2222222222222,61.5555555555556,46,87.4444444444444,"25 to 49%","75 to 100%"
"Pennsylvania State University-Penn State Schuylkill",2017,732,NA,"Under 1,000","Four or more years","Town",825.444444444444,20.2222222222222,1.77777777777778,6.55555555555556,64.6666666666667,58,78.2222222222222,"50 to 74%","75 to 100%"
"Jefferson (Philadelphia University + Thomas Jefferson University)",2017,2685,NA,"1,000 - 4,999","Four or more years","City",2838.375,13.75,4.625,7.25,59.5,66,66.125,"50 to 74%","50 to 74%"
"Bob Jones University",2017,2606,NA,"1,000 - 4,999","Four or more years","City",2835.55555555556,1.33333333333333,2.22222222222222,5.33333333333333,76.5555555555556,56,83.5,"50 to 74%","75 to 100%"
"Citadel Military College of South Carolina",2017,2837,NA,"1,000 - 4,999","Four or more years","City",2694.55555555556,9,2.22222222222222,6.11111111111111,77.2222222222222,10,76.6666666666667,"0 to 24%","75 to 100%"
"University of South Carolina-Beaufort",2017,2077,NA,"1,000 - 4,999","Four or more years","Town",1905.77777777778,20.2222222222222,1.11111111111111,6.44444444444444,62.6666666666667,64,67.3333333333333,"50 to 74%","50 to 74%"
"Black Hills State University",2017,3947,NA,"1,000 - 4,999","Four or more years","Town",3935.77777777778,1.33333333333333,0.777777777777778,4.11111111111111,83.6666666666667,63,88.4444444444444,"50 to 74%","75 to 100%"
"Dakota State University",2017,2962,NA,"1,000 - 4,999","Four or more years","Town",2854.66666666667,3.33333333333333,1.44444444444444,3.33333333333333,85,47,85.4444444444444,"25 to 49%","75 to 100%"
"Bryan College-Dayton",2017,1246,NA,"1,000 - 4,999","Four or more years","Town",1371.88888888889,4.55555555555556,0.666666666666667,2.33333333333333,83.2222222222222,54,49,"50 to 74%","50 to 74%"
"Cumberland University",2017,1971,NA,"1,000 - 4,999","Four or more years","Town",1462,11.2222222222222,1.11111111111111,3,65.7777777777778,57,51,"50 to 74%","50 to 74%"
"Lee University",2017,4860,NA,"5,000 - 9,999","Four or more years","City",4537.22222222222,5,1,3.22222222222222,76.7777777777778,59,82.3333333333333,"50 to 74%","75 to 100%"
"The University of the South",2017,1702,NA,"1,000 - 4,999","Four or more years","Rural",1614.77777777778,4.44444444444444,1.88888888888889,4.55555555555556,82.3333333333333,52,56,"50 to 74%","25 to 49%"
"Tennessee Technological University",2017,9365,NA,"10,000 - 19,999","Four or more years","Town",9698.77777777778,4,1.33333333333333,2.44444444444444,83.1111111111111,45,82.8888888888889,"25 to 49%","50 to 74%"
"East Texas Baptist University",2017,1421,NA,"1,000 - 4,999","Four or more years","Town",1281.22222222222,19.1111111111111,0.444444444444444,10.5555555555556,64.6666666666667,53,56.7777777777778,"50 to 74%","50 to 74%"
"Hardin-Simmons University",2017,1742,NA,"1,000 - 4,999","Four or more years","City",1763.33333333333,6.77777777777778,1.77777777777778,15,67.7777777777778,53,61.6666666666667,"50 to 74%","75 to 100%"
"Midwestern State University",2017,5330,NA,"5,000 - 9,999","Four or more years","City",5339.88888888889,13.7777777777778,3,15.4444444444444,55.3333333333333,58,69.6666666666667,"50 to 74%","75 to 100%"
"Rice University",2017,4001,NA,"5,000 - 9,999","Four or more years","City",3868.77777777778,6.77777777777778,22.7777777777778,14,38.2222222222222,48,16.3333333333333,"25 to 49%","0 to 24%"
"Saint Edward's University",2017,3941,NA,"1,000 - 4,999","Four or more years","City",4115.55555555556,4,2.66666666666667,38.2222222222222,41.7777777777778,61,74.2222222222222,"50 to 74%","75 to 100%"
"Texas A & M University-College Station",2017,53065,NA,"20,000 and above","Four or more years","City",46309.4444444444,3,5.77777777777778,20.4444444444444,66.1111111111111,48,68,"25 to 49%","50 to 74%"
"Texas Woman's University",2017,10310,NA,"10,000 - 19,999","Four or more years","City",9552.22222222222,19.5555555555556,8.11111111111111,25.2222222222222,42.1111111111111,89,86.7777777777778,"75 to 100%","75 to 100%"
"Hampton University",2017,3792,NA,"1,000 - 4,999","Four or more years","City",3828,93.6666666666667,0.555555555555556,1,2.77777777777778,65,43.2222222222222,"50 to 74%","25 to 49%"
"James Madison University",2017,19975,NA,"20,000 and above","Four or more years","City",18897.8888888889,4.33333333333333,4.44444444444444,5.11111111111111,77,59,67,"50 to 74%","75 to 100%"
"Sweet Briar College",2017,319,NA,"Under 1,000","Four or more years","Suburb",549.444444444444,8.11111111111111,2.55555555555556,7.88888888888889,73.8888888888889,97,86.6666666666667,"75 to 100%","75 to 100%"
"Cornish College of the Arts",2017,658,NA,"Under 1,000","Four or more years","City",741.555555555556,3.44444444444444,5.66666666666667,10,63.8888888888889,65,68.7777777777778,"50 to 74%","75 to 100%"
"The Evergreen State College",2017,3610,NA,"1,000 - 4,999","Four or more years","Suburb",3933.44444444444,4.88888888888889,2.77777777777778,8.55555555555556,66.5555555555556,55,96.6666666666667,"50 to 74%","75 to 100%"
"Seattle Pacific University",2017,2900,NA,"1,000 - 4,999","Four or more years","City",3144.77777777778,4,10.5555555555556,9.11111111111111,62.4444444444444,67,81.2222222222222,"50 to 74%","75 to 100%"
"Seattle University",2017,4560,NA,"5,000 - 9,999","Four or more years","City",4592.66666666667,3.44444444444444,16.1111111111111,9.77777777777778,46.3333333333333,60,72.8888888888889,"50 to 74%","50 to 74%"
"University of Charleston",2017,1831,NA,"1,000 - 4,999","Four or more years","City",1483.44444444444,10,1,2.33333333333333,57.4444444444444,53,57.3333333333333,"50 to 74%","50 to 74%"
"Wheeling Jesuit University",2017,719,NA,"1,000 - 4,999","Four or more years","City",1025.22222222222,6.11111111111111,1,2.22222222222222,75.1111111111111,53,70.3333333333333,"50 to 74%","50 to 74%"
"Carroll University",2017,2982,NA,"1,000 - 4,999","Four or more years","City",3073.77777777778,1.55555555555556,3,6.22222222222222,83.2222222222222,65,78.4444444444444,"50 to 74%","50 to 74%"
"Edgewood College",2017,1564,NA,"1,000 - 4,999","Four or more years","City",1819.88888888889,2.88888888888889,2.55555555555556,5.55555555555556,80,71,74.5555555555556,"50 to 74%","50 to 74%"
"Maranatha Baptist University",2017,926,NA,"1,000 - 4,999","Four or more years","Town",906.333333333333,1.11111111111111,1.22222222222222,2.66666666666667,77.8888888888889,55,71.6666666666667,"50 to 74%","50 to 74%"
"Silver Lake College of the Holy Family",2017,392,NA,"Under 1,000","Four or more years","Town",429.666666666667,10,2.11111111111111,5,66.1111111111111,67,55.1111111111111,"50 to 74%","50 to 74%"
"Wisconsin Lutheran College",2017,992,NA,"1,000 - 4,999","Four or more years","City",1017.55555555556,5.44444444444444,1.11111111111111,5.11111111111111,83,55,76.2222222222222,"50 to 74%","75 to 100%"
"University of Wisconsin-Platteville",2017,7611,NA,"5,000 - 9,999","Four or more years","Town",7778.33333333333,1.55555555555556,1,3,90.7777777777778,35,90.4444444444444,"25 to 49%","75 to 100%"
"University of Washington-Bothell Campus",2017,5365,NA,"5,000 - 9,999","Four or more years","Suburb",4286.77777777778,5.33333333333333,26.2222222222222,8.44444444444444,43.8888888888889,50,77.5555555555556,"50 to 74%","75 to 100%"
"Everglades University",2017,2099,NA,"1,000 - 4,999","Four or more years","City",1473,16.4444444444444,1.77777777777778,16.5555555555556,57.6666666666667,51,82.3333333333333,"50 to 74%","50 to 74%"
"Mt Sierra College",2017,202,NA,"Under 1,000","Four or more years","Suburb",409.555555555556,5.77777777777778,10.3333333333333,42.8888888888889,17.7777777777778,28,74.6666666666667,"25 to 49%","75 to 100%"
"Living Arts College",2017,263,NA,"Under 1,000","Four or more years","City",422.666666666667,52.4444444444444,1,6.22222222222222,33.8888888888889,58,90.3333333333333,"50 to 74%","75 to 100%"
"Embry-Riddle Aeronautical University-Worldwide",2017,10457,NA,"10,000 - 19,999","Four or more years","City",10148.7777777778,8.11111111111111,2.55555555555556,8.55555555555556,51.4444444444444,12,76.6666666666667,"0 to 24%","50 to 74%"
"New Hampshire Institute of Art",2017,308,NA,"Under 1,000","Four or more years","City",413.777777777778,0.888888888888889,0.777777777777778,6.33333333333333,69,69,60,"50 to 74%","75 to 100%"
"Central Methodist University-College of Graduate and Extended Studies",2017,3667,NA,"1,000 - 4,999","Four or more years","Town",3939.77777777778,3.11111111111111,0.555555555555556,1,86.4444444444444,67,33.75,"50 to 74%","25 to 49%"
"Ecclesia College",2017,232,NA,"Under 1,000","Four or more years","Rural",203.444444444444,9.55555555555556,1.11111111111111,7.88888888888889,61,40,51.3333333333333,"25 to 49%","50 to 74%"
"Visible Music College",2017,124,NA,"Under 1,000","Four or more years","City",122.111111111111,18.6666666666667,1,8.11111111111111,66.5555555555556,35,78.3333333333333,"25 to 49%","75 to 100%"
"Chamberlain University-Illinois",2017,15697,NA,"20,000 and above","Four or more years","Suburb",10876.8888888889,10.5555555555556,9.11111111111111,10.3333333333333,50.8888888888889,90,66.4444444444444,"75 to 100%","50 to 74%"
"Texas A&M University-San Antonio",2017,5401,NA,"5,000 - 9,999","Four or more years","Rural",4826.75,6.5,1.25,61.5,23.5,62,34.6666666666667,"50 to 74%","25 to 49%"
"Virginia International University",2017,68,NA,"Under 1,000","Four or more years","Suburb",68.3333333333333,0.333333333333333,5.66666666666667,0.333333333333333,1.33333333333333,37,35,"25 to 49%","0 to 24%"
"DeVry University-Georgia",2017,955,NA,"1,000 - 4,999","Four or more years","Suburb",1648.66666666667,54.1666666666667,2,5.5,23.1666666666667,55,85.1666666666667,"50 to 74%","75 to 100%"
"DeVry University-Illinois",2017,12515,NA,"10,000 - 19,999","Four or more years","City",15863.8333333333,19.6666666666667,3.5,14,46.6666666666667,58,83.3333333333333,"50 to 74%","75 to 100%"
"DeVry University-Ohio",2017,897,NA,"1,000 - 4,999","Four or more years","City",1643.16666666667,20.3333333333333,1.66666666666667,3.16666666666667,64.6666666666667,43,88.8333333333333,"25 to 49%","75 to 100%"
"DeVry University-Virginia",2017,227,NA,"Under 1,000","Four or more years","City",458.666666666667,39.6666666666667,3.5,12.6666666666667,28,39,84.3333333333333,"25 to 49%","50 to 74%"
"Bethany Global University",2017,298,NA,"Under 1,000","Four or more years","City",256,3,1.25,2.25,75.5,73,86.25,"50 to 74%","75 to 100%"
"California Jazz Conservatory",2017,61,NA,"Under 1,000","Four or more years","City",56.25,7.5,4.75,7.5,75.75,35,100,"25 to 49%","75 to 100%"
"Chamberlain University-Nevada",2017,293,NA,"Under 1,000","Four or more years","City",257.75,11.5,29.75,17.75,30.75,79,85,"75 to 100%","75 to 100%"
"Hussian College-Relativity Campus California",2017,199,NA,"Under 1,000","Four or more years","City",147.25,10.5,10,14.25,52,65,81.75,"50 to 74%","75 to 100%"
"Arizona College-Las Vegas",2017,161,NA,"Under 1,000","Four or more years","City",329.333333333333,25.6666666666667,18.6666666666667,26.3333333333333,22,90,70.6666666666667,"75 to 100%","50 to 74%"
"University of Saint Katherine",2017,137,NA,"Under 1,000","Four or more years","Suburb",162,10,1,35.5,36.5,45,37,"25 to 49%","25 to 49%"
"Chamberlain University-California",2017,142,NA,"Under 1,000","Four or more years","City",142.333333333333,2.33333333333333,22.3333333333333,12,51.6666666666667,81,8.33333333333333,"75 to 100%","25 to 49%"
"Westcliff University",2017,469,NA,"1,000 - 4,999","Four or more years","City",469.5,4,1,2,1,37,56,"25 to 49%","25 to 49%"
"Medical Prep Institute of Tampa Bay",2017,183,NA,"Under 1,000","Four or more years","City",214,59,0,17.5,22,87,57.5,"75 to 100%","50 to 74%"
"University of Wisconsin-Parkside Flex",2017,5,NA,"Under 1,000","Four or more years","Suburb",5,0,0,0,100,40,100,"25 to 49%","75 to 100%"
"Alabama A & M University",2016,4851,NA,"5,000 - 9,999","Four or more years","City",4551,93.2222222222222,0,0.666666666666667,2.66666666666667,54,70,"50 to 74%","75 to 100%"
"Judson College",2016,327,NA,"Under 1,000","Four or more years","Rural",337.888888888889,16.7777777777778,1.11111111111111,1.66666666666667,75.2222222222222,97,66.3333333333333,"75 to 100%","50 to 74%"
"Grand Canyon University",2016,46297,NA,"20,000 and above","Four or more years","City",38399.2222222222,17.8888888888889,3.33333333333333,14.5555555555556,42.1111111111111,74,58,"50 to 74%","50 to 74%"
"Arkansas State University-Main Campus",2016,9839,NA,"10,000 - 19,999","Four or more years","City",9852.44444444445,14.1111111111111,1,2.33333333333333,73.6666666666667,58,70.3333333333333,"50 to 74%","50 to 74%"
"Azusa Pacific University",2016,5770,NA,"10,000 - 19,999","Four or more years","Suburb",5908.33333333333,5,8.77777777777778,25.1111111111111,46.4444444444444,65,65.7777777777778,"50 to 74%","50 to 74%"
"California Baptist University",2016,6937,NA,"5,000 - 9,999","Four or more years","City",6024.77777777778,7.88888888888889,4.88888888888889,30.8888888888889,43.6666666666667,63,73.6666666666667,"50 to 74%","50 to 74%"
"California Institute of Technology",2016,979,NA,"1,000 - 4,999","Four or more years","City",976.777777777778,1.33333333333333,41.6666666666667,10.6666666666667,30.2222222222222,40,10.1111111111111,"25 to 49%","0 to 24%"
"California State University-Long Beach",2016,32345,NA,"20,000 and above","Four or more years","City",30887.7777777778,4,22.6666666666667,37.5555555555556,20.7777777777778,57,31.8888888888889,"50 to 74%","25 to 49%"
"University of California-Los Angeles",2016,30873,NA,"20,000 and above","Four or more years","City",29182.8888888889,3.11111111111111,30.7777777777778,19.5555555555556,28.7777777777778,56,20.1111111111111,"50 to 74%","0 to 24%"
"University of California-Santa Barbara",2016,21574,NA,"20,000 and above","Four or more years","Suburb",20424.4444444444,2.22222222222222,17.7777777777778,25.1111111111111,37.8888888888889,53,39.2222222222222,"50 to 74%","25 to 49%"
"California Institute of the Arts",2016,959,NA,"1,000 - 4,999","Four or more years","Suburb",960.222222222222,6,11.3333333333333,13,44.3333333333333,55,24.2222222222222,"50 to 74%","0 to 24%"
"California State University Maritime Academy",2016,1107,NA,"1,000 - 4,999","Four or more years","City",1006.11111111111,2.55555555555556,8.66666666666667,16.6666666666667,54.3333333333333,15,69.7777777777778,"0 to 24%","50 to 74%"
"Concordia University-Irvine",2016,1925,NA,"1,000 - 4,999","Four or more years","City",1810.22222222222,3.77777777777778,6.33333333333333,19.7777777777778,51.6666666666667,62,70,"50 to 74%","50 to 74%"
"Claremont McKenna College",2016,1347,NA,"1,000 - 4,999","Four or more years","Suburb",1308.88888888889,3.77777777777778,10.8888888888889,11.7777777777778,43.4444444444444,48,11.8888888888889,"25 to 49%","0 to 24%"
"Laguna College of Art and Design",2016,567,NA,"Under 1,000","Four or more years","Rural",538,1.66666666666667,16.8888888888889,16.7777777777778,47.7777777777778,63,47.2222222222222,"50 to 74%","25 to 49%"
"The Master's University and Seminary",2016,1369,NA,"1,000 - 4,999","Four or more years","Suburb",1222.88888888889,3.22222222222222,5.66666666666667,9.11111111111111,65,47,75.1111111111111,"25 to 49%","75 to 100%"
"Mills College",2016,821,NA,"1,000 - 4,999","Four or more years","City",883.666666666667,7.88888888888889,9.88888888888889,23.2222222222222,43,100,72.2222222222222,"75 to 100%","75 to 100%"
"San Diego State University",2016,29860,NA,"20,000 and above","Four or more years","City",27912.2222222222,4,13.7777777777778,29.4444444444444,35.6666666666667,55,33.6666666666667,"50 to 74%","25 to 49%"
"William Jessup University",2016,1165,NA,"1,000 - 4,999","Four or more years","Rural",1052.88888888889,5.44444444444444,3.55555555555556,16.3333333333333,65,59,66.3333333333333,"50 to 74%","50 to 74%"
"Santa Clara University",2016,5438,NA,"5,000 - 9,999","Four or more years","City",5372.11111111111,3.11111111111111,15.1111111111111,17.4444444444444,46.7777777777778,50,52.4444444444444,"50 to 74%","25 to 49%"
"Scripps College",2016,1039,NA,"1,000 - 4,999","Four or more years","Suburb",995.444444444444,3.77777777777778,15.2222222222222,10.2222222222222,52.5555555555556,100,31.7777777777778,"75 to 100%","25 to 49%"
"Simpson University",2016,790,NA,"1,000 - 4,999","Four or more years","City",929.777777777778,3.55555555555556,5,13.1111111111111,61,65,55.4444444444444,"50 to 74%","50 to 74%"
"University of Southern California",2016,18794,NA,"20,000 and above","Four or more years","City",18552.7777777778,4.33333333333333,21.7777777777778,13.8888888888889,39.2222222222222,51,18.7777777777778,"50 to 74%","0 to 24%"
"Adams State University",2016,2014,NA,"1,000 - 4,999","Four or more years","Town",2213.77777777778,6.66666666666667,1.11111111111111,33,47.8888888888889,50,73.2222222222222,"50 to 74%","75 to 100%"
"University of Hartford",2016,5150,NA,"5,000 - 9,999","Four or more years","City",5218.22222222222,14.4444444444444,3.22222222222222,9.77777777777778,56.4444444444444,51,65.2222222222222,"50 to 74%","50 to 74%"
"University of Saint Joseph",2016,894,NA,"1,000 - 4,999","Four or more years","City",974.111111111111,12.6666666666667,3.55555555555556,13.5555555555556,51.3333333333333,97,83.3333333333333,"75 to 100%","75 to 100%"
"Western Connecticut State University",2016,5181,NA,"5,000 - 9,999","Four or more years","City",5431.22222222222,9.88888888888889,3.33333333333333,14.7777777777778,64.3333333333333,53,62.5555555555556,"50 to 74%","50 to 74%"
"University of Delaware",2016,19215,NA,"20,000 and above","Four or more years","Suburb",18782.2222222222,5.66666666666667,4.55555555555556,7,74.2222222222222,57,63.3333333333333,"50 to 74%","50 to 74%"
"Trinity College of Florida",2016,202,NA,"Under 1,000","Four or more years","Suburb",207.222222222222,20.8888888888889,1,16.1111111111111,53,44,60.1428571428571,"25 to 49%","50 to 74%"
"Georgia State University",2016,25228,NA,"20,000 and above","Four or more years","City",25088.8888888889,39.8888888888889,11.8888888888889,9.11111111111111,29.6666666666667,59,58.4444444444444,"50 to 74%","50 to 74%"
"Herzing University-Atlanta",2016,604,NA,"Under 1,000","Four or more years","City",511.222222222222,72.3333333333333,8,3.77777777777778,7.88888888888889,66,88.4444444444444,"50 to 74%","75 to 100%"
"Savannah State University",2016,4772,NA,"1,000 - 4,999","Four or more years","City",4406.88888888889,85.7777777777778,0,4.33333333333333,4.22222222222222,57,65.7142857142857,"50 to 74%","50 to 74%"
"Spelman College",2016,2125,NA,"1,000 - 4,999","Four or more years","City",2148.11111111111,89.8888888888889,0,0,0,100,41.1111111111111,"75 to 100%","25 to 49%"
"Valdosta State University",2016,8780,NA,"10,000 - 19,999","Four or more years","City",9545.77777777778,35.8888888888889,1,4.88888888888889,51.4444444444444,60,61,"50 to 74%","50 to 74%"
"Blackburn College",2016,596,NA,"Under 1,000","Four or more years","Town",569.111111111111,10.3333333333333,0.666666666666667,2.22222222222222,81.6666666666667,57,59.8888888888889,"50 to 74%","50 to 74%"
"Bradley University",2016,4473,NA,"5,000 - 9,999","Four or more years","City",4719.44444444444,6.22222222222222,3.22222222222222,6.66666666666667,71.3333333333333,52,67.7777777777778,"50 to 74%","50 to 74%"
"Lewis University",2016,4553,NA,"5,000 - 9,999","Four or more years","Suburb",4526.33333333333,7.11111111111111,3.55555555555556,17.4444444444444,62.5555555555556,55,59.7777777777778,"50 to 74%","50 to 74%"
"National Louis University",2016,1459,NA,"1,000 - 4,999","Four or more years","City",1636.11111111111,33.5555555555556,2.11111111111111,28.8888888888889,24.1111111111111,76,83.6666666666667,"75 to 100%","75 to 100%"
"Northwestern University",2016,8791,NA,"20,000 and above","Four or more years","City",9075.55555555555,5.66666666666667,17.3333333333333,10.1111111111111,51.1111111111111,51,15.2222222222222,"50 to 74%","0 to 24%"
"Southern Illinois University-Edwardsville",2016,11720,NA,"10,000 - 19,999","Four or more years","Suburb",11384.4444444444,14,1.88888888888889,4,74.1111111111111,53,85.4444444444444,"50 to 74%","75 to 100%"
"Trinity Christian College",2016,1193,NA,"1,000 - 4,999","Four or more years","Suburb",1286.33333333333,9,1.33333333333333,10.4444444444444,69.1111111111111,66,81.7777777777778,"50 to 74%","50 to 74%"
"Indiana University-Kokomo",2016,3977,NA,"1,000 - 4,999","Four or more years","City",3495.22222222222,4.11111111111111,1,4.22222222222222,81.7777777777778,65,71.8888888888889,"50 to 74%","50 to 74%"
"Baker University",2016,1867,NA,"1,000 - 4,999","Four or more years","Town",1893.33333333333,9,1.44444444444444,5.55555555555556,74,56,79.6666666666667,"50 to 74%","75 to 100%"
"Concorde Career College-Kansas City",2016,505,NA,"Under 1,000","Four or more years","City",616.777777777778,31.4444444444444,1.88888888888889,10.3333333333333,46.3333333333333,90,94.4444444444444,"75 to 100%","75 to 100%"
"Kansas Wesleyan University",2016,693,NA,"Under 1,000","Four or more years","Town",711.444444444444,9.77777777777778,0.777777777777778,13.1111111111111,70.1111111111111,50,54.5555555555556,"50 to 74%","50 to 74%"
"Manhattan Christian College",2016,274,NA,"Under 1,000","Four or more years","City",317.111111111111,4.88888888888889,0.111111111111111,5.22222222222222,69.4444444444444,43,63.8333333333333,"25 to 49%","50 to 74%"
"Kentucky Mountain Bible College",2016,85,NA,"Under 1,000","Four or more years","Rural",79.7777777777778,1.77777777777778,0.111111111111111,1.22222222222222,90.7777777777778,46,54.1111111111111,"25 to 49%","50 to 74%"
"University of Kentucky",2016,22621,NA,"20,000 and above","Four or more years","City",21600.4444444444,7.44444444444444,2.44444444444444,3.55555555555556,77.4444444444444,52,80.2222222222222,"50 to 74%","75 to 100%"
"Murray State University",2016,8877,NA,"10,000 - 19,999","Four or more years","Town",8817.33333333333,6.66666666666667,1,1.77777777777778,82.1111111111111,59,82.5555555555556,"50 to 74%","75 to 100%"
"Spalding University",2016,1316,NA,"1,000 - 4,999","Four or more years","City",1285.55555555556,21.5555555555556,1.44444444444444,3.44444444444444,60.6666666666667,71,55.6666666666667,"50 to 74%","50 to 74%"
